Sample_ID,Cover_ID,Substrate_Name,Calculated_S1,Calculated_S2,Calculated_S3,Calculated_S4,New_Average
10307746,54136,Nutrient Indicator Algae,0,0,0,0,0
10307747,39779,Hard Coral,25,15,30,47.5,29.375
10307747,54138,Nutrient Indicator Algae,0,0,0,0,0
10307748,39780,Hard Coral,37.5,22.5,47.5,42.5,37.5
10307748,54140,Nutrient Indicator Algae,0,0,0,0,0
10307749,39781,Hard Coral,47.5,27.5,32.5,60,41.875
10307749,54141,Nutrient Indicator Algae,0,0,0,0,0
10307750,39782,Hard Coral,35,7.5,30,55,31.875
10307750,54139,Nutrient Indicator Algae,2.5,0,0,0,0.625
10307751,39778,Hard Coral,30,22.5,50,37.5,35
10307751,54137,Nutrient Indicator Algae,0,0,0,0,0
10307752,39783,Hard Coral,12.5,12.5,15,15,13.75
10307752,54143,Fleshy Seaweed,0,0,0,0,0
10307753,39784,Hard Coral,15,15,12.5,20,15.625
10307753,54142,Fleshy Seaweed,0,0,0,0,0
10307754,39785,Hard Coral,32.5,37.5,32.5,12.5,28.75
10307754,54144,Fleshy Seaweed,0,0,0,0,0
10307755,39786,Hard Coral,25,27.5,10,0,15.625
10307755,54145,Nutrient Indicator Algae,0,0,0,0,0
10307756,39787,Hard Coral,45,45,20,55,41.25
10307756,54146,Fleshy Seaweed,0,0,0,0,0
10307757,39788,Hard Coral,25,37.5,30,32.5,31.25
10307757,54147,Fleshy Seaweed,0,0,0,0,0
10307758,39790,Hard Coral,12.5,10,15,15,13.125
10307758,54150,Nutrient Indicator Algae,0,0,0,0,0
10307759,39792,Hard Coral,17.5,17.5,12.5,32.5,20
10307759,54148,Nutrient Indicator Algae,0,0,0,0,0
10307760,39793,Hard Coral,17.5,30,10,32.5,22.5
10307760,54153,Nutrient Indicator Algae,0,0,0,0,0
10307761,39791,Hard Coral,27.5,20,25,52.5,31.25
10307761,54149,Nutrient Indicator Algae,0,0,0,0,0
10307762,39789,Hard Coral,25,12.5,20,25,20.625
10307762,54151,Nutrient Indicator Algae,0,0,0,0,0
10307763,39796,Hard Coral,42.5,37.5,72.5,10,40.625
10307763,54155,Nutrient Indicator Algae,0,0,0,0,0
10307764,39795,Hard Coral,25,17.5,12.5,10,16.25
10307764,54154,Nutrient Indicator Algae,0,0,0,0,0
10307765,39794,Hard Coral,25,5,10,17.5,14.375
10307765,54152,Nutrient Indicator Algae,0,0,0,0,0
10307766,39798,Hard Coral,35,42.5,57.5,60,48.75
10307766,54158,Nutrient Indicator Algae,0,0,0,0,0
10307767,39802,Hard Coral,65,55,35,40,48.75
10307767,54161,Nutrient Indicator Algae,0,0,0,0,0
10307768,39801,Hard Coral,27.5,67.5,62.5,45,50.625
10307768,54156,Nutrient Indicator Algae,0,0,0,0,0
10307769,39799,Hard Coral,35,50,40,52.5,44.375
10307769,54159,Nutrient Indicator Algae,0,0,0,0,0
10307770,39800,Hard Coral,45,55,47.5,50,49.375
10307770,54160,Nutrient Indicator Algae,0,0,0,0,0
10307771,39797,Hard Coral,45,60,40,37.5,45.625
10307771,54157,Nutrient Indicator Algae,0,0,0,0,0
10307772,39803,Hard Coral,30,50,20,42.5,35.625
10307772,54162,Nutrient Indicator Algae,0,0,0,0,0
10307773,39804,Hard Coral,50,27.5,50,17.5,36.25
10307773,54163,Nutrient Indicator Algae,0,0,0,0,0
10307774,39806,Hard Coral,17.5,32.5,25,27.5,25.625
10307774,54165,Nutrient Indicator Algae,0,0,0,0,0
10307775,39805,Hard Coral,42.5,2.5,25,25,23.75
10307775,54164,Nutrient Indicator Algae,2.5,2.5,0,0,1.25
10307776,39808,Hard Coral,25,40,17.5,40,30.625
10307776,54168,Nutrient Indicator Algae,0,0,0,0,0
10307777,39814,Hard Coral,37.5,20,22.5,5,21.25
10307777,54172,Nutrient Indicator Algae,0,0,0,0,0
10307778,39807,Hard Coral,12.5,57.5,37.5,22.5,32.5
10307778,54166,Nutrient Indicator Algae,0,0,0,0,0
10307779,39812,Hard Coral,15,50,27.5,27.5,30
10307779,54171,Nutrient Indicator Algae,0,0,0,0,0
10307780,39809,Hard Coral,30,32.5,7.5,30,25
10307780,54167,Nutrient Indicator Algae,0,0,0,0,0
10307781,39811,Hard Coral,37.5,57.5,25,45,41.25
10307781,54170,Nutrient Indicator Algae,0,0,0,0,0
10307782,39810,Hard Coral,40,47.5,15,10,28.125
10307782,54169,Nutrient Indicator Algae,0,0,0,0,0
10307783,39813,Hard Coral,55,60,22.5,27.5,41.25
10307783,54173,Nutrient Indicator Algae,0,0,0,0,0
10307784,39815,Hard Coral,27.5,12.5,2.5,22.5,16.25
10307784,54174,Nutrient Indicator Algae,0,0,2.5,2.5,1.25
10307785,39816,Hard Coral,37.5,50,22.5,25,33.75
10307785,54175,Nutrient Indicator Algae,2.5,0,0,0,0.625
10307786,39819,Hard Coral,7.5,2.5,17.5,15,10.625
10307786,54179,Nutrient Indicator Algae,0,0,0,0,0
10307787,39817,Hard Coral,7.5,2.5,7.5,10,6.875
10307787,54176,Nutrient Indicator Algae,0,0,0,0,0
10307788,39821,Hard Coral,7.5,0,12.5,0,5
10307788,54180,Nutrient Indicator Algae,0,0,0,0,0
10307789,39822,Hard Coral,15,20,7.5,22.5,16.25
10307789,54181,Nutrient Indicator Algae,0,0,0,0,0
10307790,39820,Hard Coral,22.5,0,10,5,9.375
10307790,54177,Nutrient Indicator Algae,0,0,0,0,0
10307791,39818,Hard Coral,42.5,12.5,2.5,20,19.375
10307791,54178,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307792,39824,Hard Coral,17.5,22.5,67.5,30,34.375
10307792,54182,Nutrient Indicator Algae,0,2.5,0,0,0.625
10307793,39823,Hard Coral,40,2.5,5,37.5,21.25
10307793,54183,Nutrient Indicator Algae,0,0,0,0,0
10307794,39826,Hard Coral,2.5,0,5,5,3.125
10307794,54185,Nutrient Indicator Algae,0,0,0,0,0
10307795,39825,Hard Coral,20,12.5,20,15,16.875
10307795,54184,Nutrient Indicator Algae,5,10,2.5,0,4.375
10307796,39827,Hard Coral,5,7.5,20,5,9.375
10307796,54186,Nutrient Indicator Algae,2.5,0,0,0,0.625
10307797,39831,Hard Coral,17.5,5,7.5,2.5,8.125
10307797,54190,Nutrient Indicator Algae,5,5,0,0,2.5
10307798,39829,Hard Coral,7.5,10,7.5,2.5,6.875
10307798,54188,Nutrient Indicator Algae,0,2.5,0,0,0.625
10307799,39828,Hard Coral,15,7.5,15,12.5,12.5
10307799,54187,Nutrient Indicator Algae,0,0,2.5,12.5,3.75
10307800,39830,Hard Coral,7.5,10,12.5,2.5,8.125
10307800,54189,Nutrient Indicator Algae,0,0,7.5,0,1.875
10307801,39834,Hard Coral,22.5,17.5,5,32.5,19.375
10307801,54192,Nutrient Indicator Algae,0,0,0,0,0
10307802,39839,Hard Coral,30,40,20,37.5,31.875
10307802,54197,Nutrient Indicator Algae,0,0,0,0,0
10307803,39838,Hard Coral,30,47.5,52.5,45,43.75
10307803,54198,Nutrient Indicator Algae,0,0,0,0,0
10307804,39833,Hard Coral,35,35,37.5,52.5,40
10307804,54193,Nutrient Indicator Algae,0,0,0,0,0
10307805,39837,Hard Coral,20,25,20,37.5,25.625
10307805,54195,Nutrient Indicator Algae,0,0,0,0,0
10307806,39832,Hard Coral,10,7.5,7.5,15,10
10307806,54191,Nutrient Indicator Algae,0,7.5,0,0,1.875
10307807,39835,Hard Coral,37.5,12.5,12.5,37.5,25
10307807,54194,Nutrient Indicator Algae,0,0,0,0,0
10307808,39836,Hard Coral,37.5,35,32.5,32.5,34.375
10307808,54196,Nutrient Indicator Algae,0,0,2.5,0,0.625
10307809,39841,Hard Coral,67.5,70,50,27.5,53.75
10307809,54199,Nutrient Indicator Algae,0,0,5,0,1.25
10307810,39843,Hard Coral,15,62.5,20,17.5,28.75
10307810,54203,Nutrient Indicator Algae,0,0,0,0,0
10307811,39844,Hard Coral,97.5,87.5,60,62.5,76.875
10307811,54202,Nutrient Indicator Algae,0,0,0,0,0
10307812,39840,Hard Coral,82.5,77.5,35,27.5,55.625
10307812,54200,Nutrient Indicator Algae,0,0,0,0,0
10307813,39846,Hard Coral,87.5,62.5,75,50,68.75
10307813,54205,Nutrient Indicator Algae,0,0,0,0,0
10307814,39842,Hard Coral,90,95,87.5,82.5,88.75
10307814,54201,Nutrient Indicator Algae,0,0,0,0,0
10307815,39845,Hard Coral,72.5,62.5,62.5,67.5,66.25
10307815,54204,Nutrient Indicator Algae,0,0,0,0,0
10307816,39847,Hard Coral,55,70,67.5,45,59.375
10307816,54206,Nutrient Indicator Algae,0,0,0,2.5,0.625
10307817,39851,Hard Coral,2.5,0,0,7.5,2.5
10307817,54209,Nutrient Indicator Algae,0,0,0,0,0
10307818,39854,Hard Coral,17.5,25,37.5,2.5,20.625
10307818,54213,Nutrient Indicator Algae,0,0,15,15,7.5
10307819,39855,Hard Coral,32.5,5,0,15,13.125
10307819,54214,Nutrient Indicator Algae,5,0,0,2.5,1.875
10307820,39853,Hard Coral,5,22.5,2.5,0,7.5
10307820,54211,Nutrient Indicator Algae,0,0,5,0,1.25
10307821,39850,Hard Coral,7.5,35,7.5,12.5,15.625
10307821,54208,Nutrient Indicator Algae,27.5,7.5,2.5,0,9.375
10307822,39848,Hard Coral,35,20,45,40,35
10307822,54207,Nutrient Indicator Algae,0,0,0,10,2.5
